Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub02,sub01,6000,0.011345654948001922,brain_loss,VC,31.0
sub02,sub01,6000,0.007515475702789237,brain_loss,VC,32.0
sub02,sub01,6000,0.012288669670136644,brain_loss,VC,33.0
sub02,sub01,6000,0.012354312383969392,brain_loss,VC,34.0
sub02,sub01,6000,0.007051867230503359,brain_loss,VC,35.0
sub02,sub01,6000,0.012839480628576582,brain_loss,VC,36.0
sub02,sub01,6000,0.05603471084156218,brain_loss,VC,37.0
sub02,sub01,6000,0.019373100478971804,brain_loss,VC,38.0
sub02,sub01,6000,0.0168729959131121,brain_loss,VC,39.0
sub02,sub01,6000,0.011784278187017426,brain_loss,VC,40.0
sub02,sub01,6000,0.0026262186089196842,brain_loss,VC,41.0
sub02,sub01,6000,0.02849954581224358,brain_loss,VC,42.0
sub02,sub01,6000,0.008275388424968867,brain_loss,VC,43.0
sub02,sub01,6000,0.0031996873228319522,brain_loss,VC,44.0
sub02,sub01,6000,0.02195142905499407,brain_loss,VC,45.0
sub02,sub01,6000,0.011784202753763306,brain_loss,VC,46.0
sub02,sub01,6000,0.00558690907818532,brain_loss,VC,47.0
sub02,sub01,6000,0.031068882073872435,brain_loss,VC,48.0
sub02,sub01,6000,0.01730941724644329,brain_loss,VC,49.0
sub02,sub01,6000,-0.0008884095090595435,brain_loss,VC,50.0
sub02,sub01,6000,0.004279976758085671,brain_loss,V1,1.0
sub02,sub01,6000,0.009129721061713043,brain_loss,V1,2.0
sub02,sub01,6000,0.022002734009058684,brain_loss,V1,3.0
sub02,sub01,6000,0.022141760878300696,brain_loss,V1,4.0
sub02,sub01,6000,0.012741033509235626,brain_loss,V1,5.0
sub02,sub01,6000,0.017294773518936227,brain_loss,V1,6.0
sub02,sub01,6000,0.00803347468057838,brain_loss,V1,7.0
sub02,sub01,6000,0.011406343818737699,brain_loss,V1,8.0
sub02,sub01,6000,0.02121910226406176,brain_loss,V1,9.0
sub02,sub01,6000,0.004022211415368985,brain_loss,V1,10.0
sub02,sub01,6000,0.015481123360381186,brain_loss,V1,11.0
sub02,sub01,6000,0.008903371682131758,brain_loss,V1,12.0
sub02,sub01,6000,-0.001259200093631815,brain_loss,V1,13.0
sub02,sub01,6000,0.025055613978810617,brain_loss,V1,14.0
sub02,sub01,6000,0.02224938575152941,brain_loss,V1,15.0
sub02,sub01,6000,0.07800028927996558,brain_loss,V1,16.0
sub02,sub01,6000,0.02042694864797375,brain_loss,V1,17.0
sub02,sub01,6000,0.03849718560368696,brain_loss,V1,18.0
sub02,sub01,6000,0.008827991633873144,brain_loss,V1,19.0
sub02,sub01,6000,0.015656187907887413,brain_loss,V1,20.0
sub02,sub01,6000,0.04150793238059447,brain_loss,V1,21.0
sub02,sub01,6000,0.02380878636303916,brain_loss,V1,22.0
sub02,sub01,6000,0.013213493380753923,brain_loss,V1,23.0
sub02,sub01,6000,0.01164534510589901,brain_loss,V1,24.0
sub02,sub01,6000,0.010041561611088838,brain_loss,V1,25.0
sub02,sub01,6000,0.015329599725460897,brain_loss,V1,26.0
sub02,sub01,6000,0.011093021501189874,brain_loss,V1,27.0
sub02,sub01,6000,0.0272284112216122,brain_loss,V1,28.0
sub02,sub01,6000,-0.008706262408222325,brain_loss,V1,29.0
sub02,sub01,6000,0.016986249055709304,brain_loss,V1,30.0
sub02,sub01,6000,0.012424309311646745,brain_loss,V1,31.0
sub02,sub01,6000,-0.0009566786355624184,brain_loss,V1,32.0
sub02,sub01,6000,0.015821192485375186,brain_loss,V1,33.0
sub02,sub01,6000,0.016739926141478588,brain_loss,V1,34.0
sub02,sub01,6000,0.01075501680807801,brain_loss,V1,35.0
sub02,sub01,6000,0.01744858825006765,brain_loss,V1,36.0
sub02,sub01,6000,0.08284342279979878,brain_loss,V1,37.0
sub02,sub01,6000,0.012392452653461946,brain_loss,V1,38.0
sub02,sub01,6000,0.02034027668564529,brain_loss,V1,39.0
sub02,sub01,6000,0.013936296330579377,brain_loss,V1,40.0
sub02,sub01,6000,-0.0009761869578195748,brain_loss,V1,41.0
sub02,sub01,6000,0.03739931696293056,brain_loss,V1,42.0
sub02,sub01,6000,0.013707052168681896,brain_loss,V1,43.0
sub02,sub01,6000,0.005508641739939487,brain_loss,V1,44.0
sub02,sub01,6000,0.03870276499529227,brain_loss,V1,45.0
sub02,sub01,6000,0.031088457628613515,brain_loss,V1,46.0
sub02,sub01,6000,0.016193367260242404,brain_loss,V1,47.0
sub02,sub01,6000,0.037884215180723685,brain_loss,V1,48.0
sub02,sub01,6000,0.01900294981590645,brain_loss,V1,49.0
sub02,sub01,6000,-0.0012463005895839508,brain_loss,V1,50.0
sub02,sub01,6000,0.007250913246538129,brain_loss,V2,1.0
sub02,sub01,6000,0.00955688218521578,brain_loss,V2,2.0
sub02,sub01,6000,0.022101240612516154,brain_loss,V2,3.0
sub02,sub01,6000,0.01766264229898871,brain_loss,V2,4.0
sub02,sub01,6000,0.012761898961818844,brain_loss,V2,5.0
sub02,sub01,6000,0.021477854796060385,brain_loss,V2,6.0
sub02,sub01,6000,0.003023315897394915,brain_loss,V2,7.0
sub02,sub01,6000,0.005298724937519612,brain_loss,V2,8.0
sub02,sub01,6000,0.02362218784789308,brain_loss,V2,9.0
sub02,sub01,6000,0.006951367304030949,brain_loss,V2,10.0
sub02,sub01,6000,0.019448462517102576,brain_loss,V2,11.0
sub02,sub01,6000,0.0038770595742353775,brain_loss,V2,12.0
sub02,sub01,6000,0.010490097930192885,brain_loss,V2,13.0
sub02,sub01,6000,0.02781584793113238,brain_loss,V2,14.0
sub02,sub01,6000,0.01930072678814911,brain_loss,V2,15.0
sub02,sub01,6000,0.09672201618594078,brain_loss,V2,16.0
sub02,sub01,6000,0.014014848369535315,brain_loss,V2,17.0
