Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub03,sub04,6000,0.2373289619058833,0.24658528442734895,0.9751020408163263,content_loss,VC,conv3_4
sub03,sub04,6000,0.2614561147007922,0.2622087881055872,0.9804081632653062,content_loss,VC,conv3_3
sub03,sub04,6000,0.20654235554917877,0.21916945156955747,0.9881632653061224,content_loss,VC,conv3_2
sub03,sub04,6000,0.18368708897892352,0.19844332369297782,0.9399999999999998,content_loss,VC,conv3_1
sub03,sub04,6000,0.10389363611684262,0.11799367056344115,0.8971428571428572,content_loss,VC,conv2_2
sub03,sub04,6000,0.17290385544691406,0.18809853880392619,0.8808163265306124,content_loss,VC,conv2_1
sub03,sub04,6000,0.15384253889039798,0.17867925423654163,0.7722448979591836,content_loss,VC,conv1_2
sub03,sub04,6000,0.18001683203110339,0.2080172823813549,0.7836734693877552,content_loss,VC,conv1_1
sub03,sub05,6000,0.5206584931861421,0.524790094525443,0.9567346938775511,content_loss,VC,fc8
sub03,sub05,6000,0.36555588887917073,0.3713078052465298,0.9751020408163267,content_loss,VC,fc7
sub03,sub05,6000,0.3887081938648932,0.37968094742168573,0.9726530612244899,content_loss,VC,fc6
sub03,sub05,6000,0.3177085059519466,0.2777332198040636,0.9779591836734692,content_loss,VC,conv5_4
sub03,sub05,6000,0.3286426065261134,0.3237989144823057,0.9934693877551021,content_loss,VC,conv5_3
sub03,sub05,6000,0.3319597681492003,0.3358131194254477,0.993061224489796,content_loss,VC,conv5_2
sub03,sub05,6000,0.322669481247951,0.3295126444953849,0.9971428571428572,content_loss,VC,conv5_1
sub03,sub05,6000,0.25351884321377016,0.24643333142560217,0.9955102040816327,content_loss,VC,conv4_4
sub03,sub05,6000,0.2500677878259651,0.25913877875322217,0.9959183673469388,content_loss,VC,conv4_3
sub03,sub05,6000,0.2833217087981447,0.30275440482504185,0.993061224489796,content_loss,VC,conv4_2
sub03,sub05,6000,0.3057953395008099,0.32365697935616533,0.9946938775510205,content_loss,VC,conv4_1
sub03,sub05,6000,0.23349721365493123,0.24350905123427058,0.9714285714285715,content_loss,VC,conv3_4
sub03,sub05,6000,0.2577415771436521,0.25885507381701583,0.9755102040816327,content_loss,VC,conv3_3
sub03,sub05,6000,0.20296188945457466,0.21523258040753251,0.9836734693877551,content_loss,VC,conv3_2
sub03,sub05,6000,0.18076913608355744,0.19532165853917344,0.9297959183673469,content_loss,VC,conv3_1
sub03,sub05,6000,0.09989624747095509,0.11449008254869165,0.8812244897959185,content_loss,VC,conv2_2
sub03,sub05,6000,0.16907286543153385,0.18417625825752582,0.8746938775510203,content_loss,VC,conv2_1
sub03,sub05,6000,0.14983424109736967,0.1740445618324305,0.7657142857142857,content_loss,VC,conv1_2
sub03,sub05,6000,0.17694031875633104,0.20426019619859517,0.7787755102040816,content_loss,VC,conv1_1
sub04,sub01,6000,0.5086053145672015,0.516292492384724,0.9620408163265307,content_loss,VC,fc8
sub04,sub01,6000,0.3692852108767518,0.3688016346099524,0.9795918367346939,content_loss,VC,fc7
sub04,sub01,6000,0.3807389270077053,0.3765126251091899,0.980408163265306,content_loss,VC,fc6
sub04,sub01,6000,0.32403407295550013,0.28124996221835885,0.9844897959183673,content_loss,VC,conv5_4
sub04,sub01,6000,0.33428559460071766,0.32533605487707695,0.9938775510204081,content_loss,VC,conv5_3
sub04,sub01,6000,0.3377239918505822,0.3426399371906058,0.9963265306122449,content_loss,VC,conv5_2
sub04,sub01,6000,0.33462018213769945,0.3426884268306489,0.9987755102040816,content_loss,VC,conv5_1
sub04,sub01,6000,0.26956021423896387,0.2627376856313752,0.9971428571428572,content_loss,VC,conv4_4
sub04,sub01,6000,0.26072954042267876,0.2715421580990579,0.9963265306122449,content_loss,VC,conv4_3
sub04,sub01,6000,0.2938310813135468,0.31485824631459103,0.9959183673469388,content_loss,VC,conv4_2
sub04,sub01,6000,0.31455690079889875,0.3328694525005175,0.9942857142857143,content_loss,VC,conv4_1
sub04,sub01,6000,0.23971695380424896,0.2478444011315241,0.9775510204081634,content_loss,VC,conv3_4
sub04,sub01,6000,0.26672487475658846,0.2671749404974606,0.9800000000000001,content_loss,VC,conv3_3
